school,conference,year,total_wins,total_losses,conf_wins,conf_losses
Livingstone,CIAA,2025,5,5,3,4
Texas,SEC,2025,10,3,6,2
Indiana,Big Ten,2025,16,0,10,0
Loras College,American Rivers,2025,3,7,3,5
Grambling,SWAC,2025,7,5,4,4
Minnesota Morris,Upper Midwest,2025,3,7,3,5
Saint John's (MN),Minnesota,2025,10,2,8,1
Carson-Newman College,South Atlantic,2025,7,3,6,3
Whitworth,Northwest,2025,8,3,7,0
Waynesburg,Presidents',2025,4,6,3,4
Bowdoin,NESCAC,2025,2,7,2,7
Benedictine University,NACC,2025,7,3,5,3
UT Permian Basin,Lone Star,2025,11,3,7,2
UCLA,Big Ten,2025,3,9,3,6
Ohio,Mid-American,2025,9,4,6,2
Willamette,Northwest,2025,1,9,0,8
Anderson (IN),Heartland,2025,2,8,1,5
Juniata College,Landmark Conference,2025,2,8,0,5
Dubuque,American Rivers,2025,4,6,4,4
Kansas State,Big 12,2025,6,6,5,4
Anderson (Sc),South Atlantic,2025,5,6,3,6
Howard Payne,American Southwest,2025,4,6,2,4
Northern State,Northern Sun,2025,7,4,6,4
Williams,NESCAC,2025,5,4,5,4
Concordia-Wisconsin,NACC,2025,9,2,8,0
Western Michigan,Mid-American,2025,10,4,8,1
Southern Utah,UAC,2025,7,5,6,2
Lebanon Valley,Mid Atlantic,2025,6,5,6,3
Montana,Big Sky,2025,13,2,7,2
Thomas More College,Great Midwest Athletic,2025,1,10,1,8
Jackson State,SWAC,2025,9,3,7,2
Missouri Western,Mid America,2025,3,8,2,7
Millikin,CCIW,2025,3,7,2,7
Colby College,NESCAC,2025,6,3,6,3
Montclair State,New Jersey,2025,5,5,3,3
Ripon,Midwest,2025,5,5,5,4
Pacific (OR),Northwest,2025,3,7,3,5
Clark Atlanta,SIAC,2025,3,7,2,6
Allen,SIAC,2025,6,5,5,3
Western Oregon,Lone Star,2025,8,3,7,2
CENTENARY,Southern Collegiate Athletic,2025,1,8,1,5
Western New England,Commonwealth Coast,2025,6,4,2,3
Marietta,Ohio,2025,5,5,3,5
Washington and Lee,Old Dominion,2025,7,4,4,2
Rhode Island,CAA,2025,11,3,8,0
Florida Atlantic,American Athletic,2025,4,8,3,5
Chadron St,Rocky Mountain,2025,8,4,8,1
Christopher Newport,New Jersey,2025,10,1,6,0
Belhaven,USA South,2025,6,4,5,2
Cornell,Ivy,2025,4,6,3,4
Methodist,USA South,2025,1,9,0,7
Simpson College (IA),American Rivers,2025,6,4,5,3
Aurora,NACC,2025,8,3,6,2
Alfred State,Empire 8,2025,5,5,0,0
Old Dominion,Sun Belt,2025,10,3,6,2
Southeastern Oklahoma State,Great American,2025,5,6,5,6
Wingate,South Atlantic,2025,9,3,7,2
Westfield State,MSCAC,2025,3,7,2,6
Lincoln (CA),Independent DII,2025,0,8,0,1
North Carolina,ACC,2025,4,8,2,6
Illinois,Big Ten,2025,9,4,5,4
Elmhurst,CCIW,2025,1,9,0,9
Wheaton,CCIW,2025,11,3,8,1
Benedict College,SIAC,2025,10,3,7,3
Central Missouri,Mid America,2025,5,6,5,4
Marshall,Sun Belt,2025,5,7,3,5
Eastern Michigan,Mid-American,2025,4,8,3,5
UNC Pembroke,Carolinas,2025,8,3,0,1
Black Hills State,Rocky Mountain,2025,3,8,3,6
UT Martin,Big South-OVC,2025,6,6,6,2
Maryville College (TN),USA South,2025,7,3,0,0
American International,Northeast 10,2025,2,8,2,7
Western New Mexico,Lone Star,2025,2,9,1,8
Worcester St,MSCAC,2025,3,7,2,5
Northern Illinois,Mid-American,2025,3,9,2,6
St. Francis (PA),NEC,2025,0,11,0,7
Idaho,Big Sky,2025,4,8,2,6
Colorado,Big 12,2025,3,9,1,8
SE Louisiana,Southland,2025,9,4,6,1
Ohio Wesleyan,North Coast,2025,3,7,2,5
Kent State,Mid-American,2025,5,7,4,4
Salve Regina,NEWMAC,2025,6,4,3,4
Widener,Mid Atlantic,2025,4,6,3,6
Dean College,MSCAC,2025,0,10,0,1
Alcorn State,SWAC,2025,5,7,4,5
Colgate,Patriot,2025,5,7,3,3
North Dakota State,MVFC,2025,12,1,8,1
Wittenberg,North Coast,2025,4,6,3,4
Northwestern,Big Ten,2025,7,6,4,5
NC State,ACC,2025,8,5,4,4
Ole Miss,SEC,2025,13,2,8,1
Seton Hill,Pennsylvania State Athletic,2025,4,7,3,6
Rose-Hulman,Heartland,2025,3,7,3,3
Liberty,Conference USA,2025,4,8,3,5
Virginia St,CIAA,2025,6,4,5,3
Sul Ross State,Lone Star,2025,0,11,0,9
Morehouse College,SIAC,2025,3,7,3,5
Bucknell,Patriot,2025,5,7,1,5
Shepherd,Pennsylvania State Athletic,2025,7,4,7,3
New Hampshire,CAA,2025,8,5,6,2
Hiram College,Presidents',2025,3,7,1,0
The Citadel,Southern,2025,4,8,3,5
Penn State,Big Ten,2025,7,6,3,6
Brevard College,USA South,2025,6,4,4,3
MIT,NEWMAC,2025,6,3,4,3
Newberry,South Atlantic,2025,12,2,8,1
Arkansas-Pine Bluff,SWAC,2025,3,8,2,6
Westminster (PA),Presidents',2025,8,3,5,2
Utica,Empire 8,2025,8,3,5,1
William Paterson,New Jersey,2025,2,8,0,6
William & Mary,CAA,2025,7,5,6,3
Kutztown University,Pennsylvania State Athletic,2025,14,1,10,0
Drake,Pioneer,2025,8,4,7,1
Albany State GA,SIAC,2025,12,2,10,0
Wofford,Southern,2025,6,6,5,3
Louisville,ACC,2025,9,4,4,4
Rice,American Athletic,2025,5,8,2,6
Luther,American Rivers,2025,0,10,0,8
Missouri S&T,Great Lakes,2025,5,5,3,4
South Carolina,SEC,2025,4,8,1,7
Worcester Polytechnic Institute,NEWMAC,2025,2,8,1,6
Fordham,Patriot,2025,1,11,1,5
ERSKINE,Carolinas,2025,1,10,1,3
Angelo State,Lone Star,2025,6,5,4,5
Geneva,Presidents',2025,6,5,6,2
UT Rio Grande Valley,Southland,2025,9,3,0,0
Western Carolina,Southern,2025,7,5,6,2
Texas Lutheran,Southern Collegiate Athletic,2025,6,4,4,1
Trinity University TX,Southern Athletic,2025,10,2,5,2
Morehead State,Pioneer,2025,6,6,4,4
Illinois State,MVFC,2025,12,5,6,3
Southern Illinois,MVFC,2025,7,5,4,4
Southern Connecticut State,Northeast 10,2025,4,6,4,4
Albion,Michigan,2025,3,7,1,6
Delaware State,MEAC,2025,8,4,4,1
Catawba,South Atlantic,2025,7,4,5,4
Jamestown College,Northern Sun,2025,1,9,0,0
Cornell College (IA),Midwest,2025,4,6,4,5
Dickinson (PA),Centennial,2025,5,6,3,3
Greeneville,South Atlantic,2025,1,9,0,9
Framingham State,MSCAC,2025,7,4,5,2
Puget Sound,Northwest,2025,1,9,1,7
Chicago,Midwest,2025,7,3,7,2
Columbia,Ivy,2025,2,8,1,6
Kentucky State,SIAC,2025,9,3,7,1
Sewanee,Southern Athletic,2025,3,7,1,5
Wooster,North Coast,2025,5,5,4,3
Central College,American Rivers,2025,8,2,6,2
James Madison,Sun Belt,2025,12,2,9,0
Pacific Lutheran,Northwest,2025,6,4,5,2
Lamar,Southland,2025,8,5,4,3
West Virginia State,Mountain East,2025,5,6,4,4
Otterbein,Ohio,2025,1,9,1,7
Stanford,ACC,2025,4,8,3,5
Muhlenberg,Centennial,2025,9,3,4,2
Ball State,Mid-American,2025,4,8,3,5
Hilbert College,Empire 8,2025,0,10,0,1
UAlbany,CAA,2025,2,10,1,7
Bryant,CAA,2025,3,9,1,7
Rockford,NACC,2025,1,9,0,8
Walsh,Great Midwest Athletic,2025,6,5,4,5
Fort Valley State,SIAC,2025,4,6,4,4
Georgia State,Sun Belt,2025,1,11,0,8
Trinity (CT),NESCAC,2025,7,2,7,2
Cal Poly,Big Sky,2025,4,8,2,6
Central Connecticut,NEC,2025,8,5,6,1
Delta State,Gulf South,2025,7,3,3,2
West Alabama,Gulf South,2025,5,4,2,3
Howard,MEAC,2025,5,7,2,3
NEWBERG,Northwest,2025,4,6,4,4
UAB,American Athletic,2025,4,8,2,6
East Carolina,American Athletic,2025,9,4,6,2
Texas Tech,Big 12,2025,12,2,9,1
Oklahoma,SEC,2025,10,3,6,3
