school,conference,year,total_wins,total_losses,conf_wins,conf_losses
Tufts,NESCAC,2024,7,2,7,2
Franklin Pierce,Northeast 10,2024,5,5,5,4
Wilson,South Atlantic,2024,3,8,2,7
Michigan,Big Ten,2024,8,5,5,4
Bowie State,CIAA,2024,4,6,4,4
Massachusetts,FBS Independents,2024,2,10,0,1
Mount St. Joseph,Heartland,2024,8,3,6,0
Plymouth State,MSCAC,2024,5,4,5,4
Susquehanna,Landmark Conference,2024,12,2,6,0
Ferrum,Old Dominion,2024,5,5,4,4
Centre College Kentucky,Southern Athletic,2024,8,3,6,1
North Carolina Central,MEAC,2024,8,3,4,1
Buffalo,Mid-American,2024,9,4,6,2
Yale,Ivy,2024,7,3,4,3
East Tennessee State,Southern,2024,7,5,5,3
Furman,Southern,2024,3,8,2,5
Kansas,Big 12,2024,5,7,4,5
Nebraska,Big Ten,2024,7,6,3,6
Nicholls,Southland,2024,4,8,2,5
Virginia Union,CIAA,2024,10,4,7,2
Henderson State,Great American,2024,8,3,8,3
Bluefield State,CIAA,2024,1,9,0,8
New Mexico,Mountain West,2024,5,7,3,4
Albright,Mid Atlantic,2024,2,8,1,8
Lenoir-Rhyne,South Atlantic,2024,10,3,7,2
Virginia Tech,ACC,2024,6,7,4,4
Baldwin Wallace,Ohio,2024,7,3,6,3
PennWest California,Pennsylvania State Athletic,2024,10,3,9,2
Union (NY),Liberty League,2024,3,7,2,4
Curry College,Commonwealth Coast,2024,4,6,2,3
Tarleton State,UAC,2024,10,4,6,2
Lake Forest College,Midwest,2024,10,1,9,0
Mary Hardin-Baylor,American Southwest,2024,8,4,5,2
Prairie View A&M,SWAC,2024,5,7,3,5
Abilene Christian,UAC,2024,9,5,7,1
Nebraska Wesleyan,American Rivers,2024,3,7,2,6
North Dakota,MVFC,2024,5,7,2,6
Illinois College,Midwest,2024,8,2,7,2
Hendrix College,Southern Athletic,2024,4,6,2,5
Holy Cross,Patriot,2024,6,6,5,1
Fairmont State,Mountain East,2024,7,4,6,3
Biddeford,Commonwealth Coast,2024,4,6,2,3
Nevada,Mountain West,2024,3,10,0,7
Wisconsin-Stout,Wisconsin,2024,6,4,4,3
Utah,Big 12,2024,5,7,2,7
Hillsdale,Great Midwest Athletic,2024,6,5,6,3
Kentucky,SEC,2024,4,8,1,7
Tiffin,Great Midwest Athletic,2024,8,3,7,2
Ohio Northern,Ohio,2024,5,5,4,5
Wisconsin-River Falls,Wisconsin,2024,7,3,4,3
Central Michigan,Mid-American,2024,4,8,2,6
Colorado Mesa,Rocky Mountain,2024,7,4,6,3
Pace,Northeast 10,2024,2,8,2,7
Maryland,Big Ten,2024,4,8,1,8
Brown,Ivy,2024,3,7,2,5
Ohio Dominican,Great Midwest Athletic,2024,4,7,3,6
Wyoming,Mountain West,2024,3,9,2,5
Southwestern Oklahoma State,Great American,2024,3,8,3,8
California Lutheran University,So. Cal.,2024,2,8,2,6
Mass Maritime,MSCAC,2024,5,5,5,4
Cincinnati,Big 12,2024,5,7,3,6
Guilford College,Old Dominion,2024,3,7,0,7
Wabash College,North Coast,2024,8,2,7,1
Southern Arkansas,Great American,2024,9,2,9,2
Texas State,Sun Belt,2024,8,5,5,3
Georgetown,Patriot,2024,5,6,2,4
Southern Miss,Sun Belt,2024,1,11,0,8
Northeastern State,Independent DII,2024,2,9,1,0
Davenport,GLIAC,2024,7,4,4,3
Augustana University (SD),Northern Sun,2024,8,4,8,3
Denison University,North Coast,2024,6,4,6,2
Fort Hays State,Mid America,2024,8,3,6,3
Edinboro University,Pennsylvania State Athletic,2024,3,8,2,8
Miles College,SIAC,2024,10,3,9,0
Misericordia,Mid Atlantic,2024,3,7,2,7
UTSA,American Athletic,2024,7,6,4,4
Boston College,ACC,2024,7,6,4,4
Frostburg State,Mountain East,2024,6,5,4,5
Claremont-Mudd-Scripps College,So. Cal.,2024,8,2,6,2
University of Mount Union,Ohio,2024,14,1,10,0
Lincoln (PA),CIAA,2024,2,8,2,6
Virginia,ACC,2024,5,7,3,5
Oregon State,Pac-12,2024,5,7,1,0
Grove City College,Presidents',2024,9,2,9,1
East Central (OK),Great American,2024,5,6,5,6
McKendree,Great Lakes,2024,5,6,4,4
Wagner,NEC,2024,4,8,2,4
Bluffton,Heartland,2024,3,7,3,3
Lincoln (MO),Great Lakes,2024,1,10,0,8
Wheeling,Mountain East,2024,6,5,5,4
Huntingdon College (AL),USA South,2024,5,5,5,3
Portland State,Big Sky,2024,3,8,3,5
Bridgewater State,MSCAC,2024,5,5,5,4
Bates,NESCAC,2024,2,7,2,7
Northern Colorado,Big Sky,2024,1,11,1,7
Martin Luther,Upper Midwest,2024,6,4,4,3
Winston-Salem,CIAA,2024,7,3,6,2
