name,school,position,nil_valuation,nil_rank,class_year,recruiting_stars,followers,profile_url,headshot_url
Carter Smith,Unknown,OT,1216032.0,70,RedShirt Senior,3.0,5325,https://www.on3.com/db/carter-smith-18942/,https://on3static.com/uploads/assets/800/263/263800.png
Chris Cenac,Houston Cougars,PF,1215927.0,71,Freshman,5.0,14198,https://www.on3.com/db/chris-cenac-236267/,https://on3static.com/uploads/assets/39/358/358039.jpg
PJ Haggerty,Kansas State Wildcats,SG,1212126.0,72,RedShirt Junior,3.0,5258,https://www.on3.com/db/pj-haggerty-96721/,https://on3static.com/uploads/assets/374/304/304374.png
Mikel Brown Jr.,Louisville Cardinals,PG,1205544.0,73,Freshman,5.0,49903,https://www.on3.com/db/mikel-brown-jr-158520/,https://on3static.com/uploads/assets/491/205/205491.jpg
Drew Allar,Penn State Nittany Lions,QB,1200000.0,74,Senior,5.0,147705,https://www.on3.com/db/drew-allar-38915/,https://on3static.com/uploads/assets/863/94/94863.png
Deron Rippey Jr.,Duke Blue Devils,PG,1198534.0,75,,5.0,3324,https://www.on3.com/db/deron-rippey-jr-180966/,https://on3static.com/uploads/assets/776/457/457776.png
Cayden Green,Missouri Tigers,OT,1189460.0,76,Senior,4.0,20349,https://www.on3.com/db/cayden-green-19225/,https://on3static.com/uploads/assets/740/23/23740.jpeg
Hansel Enmanuel,Unknown,CG,1179193.0,77,Senior,3.0,4406266,https://www.on3.com/db/hansel-enmanuel-150021/,https://on3static.com/uploads/assets/608/32/32608.jpg
Kai Trump,Miami Hurricanes,G,1178415.0,78,,,5408564,https://www.on3.com/db/kai-trump-247684/,https://on3static.com/uploads/assets/953/397/397953.jpg
Jacarrius Peak,South Carolina Gamecocks,OT,1176502.0,79,RedShirt Senior,4.0,16807,https://www.on3.com/db/jacarrius-peak-147253/,https://on3static.com/uploads/assets/572/225/225572.png
DJ Lagway,Baylor Bears,QB,1173042.0,80,Sophomore,5.0,158925,https://www.on3.com/db/dj-lagway-34744/,https://on3static.com/uploads/assets/907/287/287907.png
Matayo Uiagalelei,Oregon Ducks,EDGE,1167297.0,81,Senior,4.0,42371,https://www.on3.com/db/matayo-uiagalelei-84974/,https://on3static.com/uploads/assets/988/303/303988.png
Tyler Tanner,Vanderbilt Commodores,PG,1162848.0,82,Sophomore,3.0,5223,https://www.on3.com/db/tyler-tanner-236018/,https://on3static.com/uploads/assets/314/206/206314.png
Immanuel Iheanacho,Oregon Ducks,OT,1160858.0,83,,5.0,6254,https://www.on3.com/db/immanuel-iheanacho-236385/,https://on3static.com/uploads/assets/540/397/397540.jpg
Demond Williams Jr.,Washington Huskies,QB,1157409.0,84,Junior,4.0,16035,https://www.on3.com/db/demond-williams-jr-34094/,https://on3static.com/uploads/assets/733/125/125733.jpg
Jordan Smith Jr.,Unknown,SG,1152116.0,85,,5.0,7114,https://www.on3.com/db/jordan-smith-jr-159438/,https://on3static.com/uploads/assets/775/457/457775.png
Koa Peat,Arizona Wildcats,SF,1149935.0,86,Freshman,5.0,62662,https://www.on3.com/db/koa-peat-154247/,https://on3static.com/uploads/assets/223/113/113223.jpeg
Bruce Thornton,Ohio State Buckeyes,PG,1148145.0,87,Senior,4.0,32476,https://www.on3.com/db/bruce-thornton-15348/,https://on3static.com/uploads/assets/564/23/23564.jpeg
Julian Lewis,Colorado Buffaloes,QB,1144601.0,88,Freshman,4.0,281282,https://www.on3.com/db/julian-lewis-147051/,https://on3static.com/uploads/assets/64/320/320064.jpg
Ahmad Hardy,Missouri Tigers,RB,1125510.0,89,Junior,,3778,https://www.on3.com/db/ahmad-hardy-240668/,https://on3static.com/uploads/assets/362/391/391362.png
Marcel Reed,Texas A&M Aggies,QB,1109488.0,90,RedShirt Junior,4.0,90494,https://www.on3.com/db/marcel-reed-82333/,https://on3static.com/uploads/assets/107/63/63107.jpg
Kiyan Anthony,Syracuse Orange,SG,1108932.0,91,Freshman,4.0,1340830,https://www.on3.com/db/kiyan-anthony-162557/,https://on3static.com/uploads/assets/474/205/205474.jpg
Anthonie Knapp,Notre Dame Fighting Irish,OT,1102443.0,92,Junior,4.0,3978,https://www.on3.com/db/anthonie-knapp-158129/,https://on3static.com/uploads/assets/409/331/331409.png
Darius Acuff,Arkansas Razorbacks,PG,1099195.0,93,Freshman,5.0,47481,https://www.on3.com/db/darius-acuff-179993/,https://on3static.com/uploads/assets/457/205/205457.jpg
Bryson Howard,Duke Blue Devils,SG,1086713.0,94,,5.0,0,https://www.on3.com/db/bryson-howard-259054/,https://on3static.com/uploads/assets/777/449/449777.jpeg
Cutter Boley,Arizona State Sun Devils,QB,1077262.0,95,Sophomore,4.0,18902,https://www.on3.com/db/cutter-boley-151566/,https://on3static.com/uploads/assets/150/115/115150.jpg
Luke Wafle,USC Trojans,EDGE,1074833.0,96,,5.0,223,https://www.on3.com/db/luke-wafle-180318/,https://on3static.com/uploads/assets/224/450/450224.jpg
Felix Ojo,Texas Tech Red Raiders,OT,1071342.0,97,,5.0,3593,https://www.on3.com/db/felix-ojo-238977/,https://on3static.com/uploads/assets/655/402/402655.jpg
Beau Pribula,Virginia Cavaliers,QB,1063024.0,98,RedShirt Junior,3.0,41952,https://www.on3.com/db/beau-pribula-9533/,https://on3static.com/uploads/assets/244/397/397244.jpg
Baba Oladotun,Maryland Terrapins,SF,1053425.0,99,,5.0,11338,https://www.on3.com/db/baba-oladotun-237822/,https://on3static.com/uploads/assets/218/347/347218.jpg
Dia Bell,Texas Longhorns,QB,1043375.0,100,,5.0,20417,https://www.on3.com/db/dia-bell-152445/,https://on3static.com/uploads/assets/698/226/226698.jpg
