name,school,position,nil_valuation,nil_rank,conference,class_year,hometown,height,weight,instagram_followers,twitter_followers,tiktok_followers,recruiting_stars,recruiting_rank,composite_rating,profile_url,scraped_at
Tyler Tanner,Unknown,PG,0,82,,,,,,5223,,,3.0,,83.70380434782608,https://www.on3.com/db/tyler-tanner-236018/,2026-02-02T22:21:10.273668
Immanuel Iheanacho,Unknown,OT,0,83,,,,,,6254,,,5.0,,98.32043010752689,https://www.on3.com/db/immanuel-iheanacho-236385/,2026-02-02T22:21:10.273670
Demond Williams Jr.,Unknown,QB,0,84,,,,,,16035,,,4.0,,91.83842391304348,https://www.on3.com/db/demond-williams-jr-34094/,2026-02-02T22:21:10.273673
Jordan Smith Jr.,Unknown,SG,0,85,,,,,,7114,,,5.0,,98.65698924731183,https://www.on3.com/db/jordan-smith-jr-159438/,2026-02-02T22:21:10.273676
Koa Peat,Unknown,PF,0,86,,,,,,62662,,,5.0,,98.76169354838709,https://www.on3.com/db/koa-peat-154247/,2026-02-02T22:21:10.273679
Bruce Thornton,Unknown,PG,0,87,,,,,,32476,,,4.0,,94.86174465733235,https://www.on3.com/db/bruce-thornton-15348/,2026-02-02T22:21:10.273682
Julian Lewis,Unknown,QB,0,88,,,,,,281282,,,4.0,,95.89444424964938,https://www.on3.com/db/julian-lewis-147051/,2026-02-02T22:21:10.273684
Ahmad Hardy,Unknown,Unknown,0,89,,,,,,3778,,,,,,https://www.on3.com/db/ahmad-hardy-240668/,2026-02-02T22:21:10.273687
Marcel Reed,Unknown,QB,0,90,,,,,,90494,,,4.0,,90.06820652173914,https://www.on3.com/db/marcel-reed-82333/,2026-02-02T22:21:10.273690
Kiyan Anthony,Unknown,SG,0,91,,,,,,1340830,,,4.0,,96.10206545510734,https://www.on3.com/db/kiyan-anthony-162557/,2026-02-02T22:21:10.273692
Anthonie Knapp,Unknown,IOL,0,92,,,,,,3978,,,4.0,,90.70885869565218,https://www.on3.com/db/anthonie-knapp-158129/,2026-02-02T22:21:10.273696
Darius Acuff,Unknown,PG,0,93,,,,,,47481,,,5.0,,98.74798387096773,https://www.on3.com/db/darius-acuff-179993/,2026-02-02T22:21:10.273699
Bryson Howard,Unknown,SG,0,94,,,,,,0,,,5.0,,98.34032258064518,https://www.on3.com/db/bryson-howard-259054/,2026-02-02T22:21:10.273702
Cutter Boley,Unknown,QB,0,95,,,,,,18902,,,4.0,,89.53152173913044,https://www.on3.com/db/cutter-boley-151566/,2026-02-02T22:21:10.273704
Luke Wafle,Unknown,EDGE,0,96,,,,,,223,,,5.0,,98.84408602150538,https://www.on3.com/db/luke-wafle-180318/,2026-02-02T22:21:10.273707
Felix Ojo,Unknown,OT,0,97,,,,,,3593,,,5.0,,96.90287517531557,https://www.on3.com/db/felix-ojo-238977/,2026-02-02T22:21:10.273709
Beau Pribula,Unknown,QB,0,98,,,,,,41952,,,3.0,,88.5,https://www.on3.com/db/beau-pribula-9533/,2026-02-02T22:21:10.273712
Baba Oladotun,Unknown,SF,0,99,,,,,,11338,,,5.0,,98.27795698924731,https://www.on3.com/db/baba-oladotun-237822/,2026-02-02T22:21:10.273714
Dia Bell,Unknown,QB,0,100,,,,,,20417,,,5.0,,97.89128097241704,https://www.on3.com/db/dia-bell-152445/,2026-02-02T22:21:10.273717
