school,conference,year,sp_overall,sp_offense,sp_defense
Kentucky,SEC,2025,1.8,25.5,23.7
Hawai'i,Mountain West,2025,1.7,27.3,27.3
Western Kentucky,Conference USA,2025,1.6,28.8,28.6
Minnesota,Big Ten,2025,1.5,23.8,20.8
Baylor,Big 12,2025,1.4,32.8,33.3
Rutgers,Big Ten,2025,1.0,31.6,30.7
New Mexico,Mountain West,2025,0.9,25.4,26.1
Army,American Athletic,2025,0.8,24.7,24.1
Maryland,Big Ten,2025,0.6,24.4,24.7
UCF,Big 12,2025,-1.2,23.2,24.0
Louisiana Tech,Conference USA,2025,-1.3,25.6,27.0
Western Michigan,Mid-American,2025,-1.4,21.7,21.8
Utah State,Mountain West,2025,-3.1,29.5,31.2
California,ACC,2025,-3.2,25.6,27.9
Air Force,Mountain West,2025,-3.2,28.3,31.7
Michigan State,Big Ten,2025,-3.4,26.6,28.7
Miami (OH),Mid-American,2025,-3.4,19.3,24.2
Ohio,Mid-American,2025,-4.0,23.2,25.2
Wisconsin,Big Ten,2025,-4.4,17.4,20.9
Marshall,Sun Belt,2025,-4.5,29.6,34.8
Troy,Sun Belt,2025,-4.8,23.6,29.0
Temple,American Athletic,2025,-5.1,27.1,33.2
Kennesaw State,Conference USA,2025,-5.4,26.4,30.2
Purdue,Big Ten,2025,-6.1,21.9,29.9
North Carolina,ACC,2025,-6.6,17.2,25.0
Jacksonville State,Conference USA,2025,-6.7,27.2,32.4
West Virginia,Big 12,2025,-6.8,22.8,30.0
Southern Miss,Sun Belt,2025,-7.1,27.0,32.8
Buffalo,Mid-American,2025,-7.5,18.2,27.4
Colorado,Big 12,2025,-8.3,22.6,29.5
Boston College,ACC,2025,-8.5,23.3,33.1
Florida Atlantic,American Athletic,2025,-8.7,27.8,38.1
UCLA,Big Ten,2025,-8.7,21.7,30.4
Central Michigan,Mid-American,2025,-8.8,17.6,25.7
Arkansas State,Sun Belt,2025,-8.8,24.4,33.5
Liberty,Conference USA,2025,-9.0,24.6,32.8
Georgia Southern,Sun Belt,2025,-9.4,28.3,37.7
Tulsa,American Athletic,2025,-10.0,21.7,33.1
Louisiana,Sun Belt,2025,-10.1,25.3,34.0
Virginia Tech,ACC,2025,-10.1,21.4,30.8
Florida International,Conference USA,2025,-10.5,26.1,35.8
Missouri State,Conference USA,2025,-10.7,25.6,34.8
Delaware,Conference USA,2025,-10.9,26.2,36.2
Wyoming,Mountain West,2025,-11.3,15.3,24.7
App State,Sun Belt,2025,-11.4,23.0,35.2
Stanford,ACC,2025,-11.8,18.4,28.6
Bowling Green,Mid-American,2025,-12.6,15.4,28.8
