name,school,position,nil_valuation,nil_rank,conference,class_year,hometown,height,weight,instagram_followers,twitter_followers,tiktok_followers,recruiting_stars,recruiting_rank,composite_rating,profile_url,scraped_at
Bruce Branch III,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 98.33172043010752, 'consensusStars': 5, 'consensusNationalRank': 10, 'consensusPositionRank': 4, 'consensusStateRank': 3, 'key': 140918, 'rating': 98.33172043010752, 'stars': 5, 'nationalRank': 10, 'positionRank': 4, 'stateRank': 3, 'positionAbbr': 'SF', 'stateAbbr': 'CA', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724204
Caleb Holt,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 98.6462365591398, 'consensusStars': 5, 'consensusNationalRank': 4, 'consensusPositionRank': 2, 'consensusStateRank': 1, 'key': 111804, 'rating': 98.6462365591398, 'stars': 5, 'nationalRank': 4, 'positionRank': 2, 'stateRank': 1, 'positionAbbr': 'SG', 'stateAbbr': 'CA', 'fiveStarPlus': True}",,2026-02-02T20:58:04.724239
Princewill Umanmielen,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 91.50217391304348, 'consensusStars': 4, 'consensusNationalRank': 227, 'consensusPositionRank': 22, 'consensusStateRank': 41, 'key': 65393, 'rating': 91.50217391304348, 'stars': 4, 'nationalRank': 227, 'positionRank': 22, 'stateRank': 41, 'positionAbbr': 'EDGE', 'stateAbbr': 'TX', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724278
Rocco Becht,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 87.30597826086957, 'consensusStars': 3, 'consensusNationalRank': 625, 'consensusPositionRank': 36, 'consensusStateRank': 88, 'key': 76526, 'rating': 87.30597826086957, 'stars': 3, 'nationalRank': 625, 'positionRank': 36, 'stateRank': 88, 'positionAbbr': 'QB', 'stateAbbr': 'FL', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724326
Jaden Bradley,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 97.50702227993439, 'consensusStars': 4, 'consensusNationalRank': 26, 'consensusPositionRank': 2, 'consensusStateRank': 7, 'key': 71494, 'rating': 97.50702227993439, 'stars': 4, 'nationalRank': 26, 'positionRank': 2, 'stateRank': 7, 'positionAbbr': 'PG', 'stateAbbr': 'FL', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724369
Noah Fifita,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 87.85, 'consensusStars': 3, 'consensusNationalRank': 546, 'consensusPositionRank': 31, 'consensusStateRank': 41, 'key': 77219, 'rating': 87.85, 'stars': 3, 'nationalRank': 546, 'positionRank': 31, 'stateRank': 41, 'positionAbbr': 'QB', 'stateAbbr': 'CA', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724429
Jeremy Fears,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 95.95607914160745, 'consensusStars': 4, 'consensusNationalRank': 40, 'consensusPositionRank': 11, 'consensusStateRank': 1, 'key': 61411, 'rating': 95.95607914160745, 'stars': 4, 'nationalRank': 40, 'positionRank': 11, 'stateRank': 1, 'positionAbbr': 'PG', 'stateAbbr': 'IL', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724465
CJ Carr,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 95.30059782608696, 'consensusStars': 4, 'consensusNationalRank': 68, 'consensusPositionRank': 6, 'consensusStateRank': 1, 'key': 103628, 'rating': 95.30059782608696, 'stars': 4, 'nationalRank': 68, 'positionRank': 6, 'stateRank': 1, 'positionAbbr': 'QB', 'stateAbbr': 'MI', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724502
Duce Robinson,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 97.47824333800841, 'consensusStars': 5, 'consensusNationalRank': 23, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 2448, 'rating': 97.47824333800841, 'stars': 5, 'nationalRank': 23, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'TE', 'stateAbbr': 'AZ', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724544
Nate Ament,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.43588709677421, 'consensusStars': 5, 'consensusNationalRank': 4, 'consensusPositionRank': 2, 'consensusStateRank': 1, 'key': 101154, 'rating': 99.43588709677421, 'stars': 5, 'nationalRank': 4, 'positionRank': 2, 'stateRank': 1, 'positionAbbr': 'SF', 'stateAbbr': 'VA', 'fiveStarPlus': True}",,2026-02-02T20:58:04.724589
Bryce James,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 85.75, 'consensusStars': 3, 'consensusNationalRank': 231, 'consensusPositionRank': 62, 'consensusStateRank': 27, 'key': 108529, 'rating': 85.75, 'stars': 3, 'nationalRank': 231, 'positionRank': 62, 'stateRank': 27, 'positionAbbr': 'SG', 'stateAbbr': 'CA', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724626
Ryan Wingo,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 96.6979347826087, 'consensusStars': 4, 'consensusNationalRank': 38, 'consensusPositionRank': 8, 'consensusStateRank': 2, 'key': 103594, 'rating': 96.6979347826087, 'stars': 4, 'nationalRank': 38, 'positionRank': 8, 'stateRank': 2, 'positionAbbr': 'WR', 'stateAbbr': 'MO', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724663
Malachi Toney,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 89.33717391304349, 'consensusStars': 3, 'consensusNationalRank': 420, 'consensusPositionRank': 61, 'consensusStateRank': 55, 'key': 126256, 'rating': 89.33717391304349, 'stars': 3, 'nationalRank': 420, 'positionRank': 61, 'stateRank': 55, 'positionAbbr': 'WR', 'stateAbbr': 'FL', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724699
Dylan Raiola,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 98.22541199158486, 'consensusStars': 5, 'consensusNationalRank': 21, 'consensusPositionRank': 3, 'consensusStateRank': 2, 'key': 103877, 'rating': 98.22541199158486, 'stars': 5, 'nationalRank': 21, 'positionRank': 3, 'stateRank': 2, 'positionAbbr': 'QB', 'stateAbbr': 'GA', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724735
Chaz Coleman,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 91.90472826086956, 'consensusStars': 4, 'consensusNationalRank': 203, 'consensusPositionRank': 25, 'consensusStateRank': 8, 'key': 126166, 'rating': 91.90472826086956, 'stars': 4, 'nationalRank': 203, 'positionRank': 25, 'stateRank': 8, 'positionAbbr': 'EDGE', 'stateAbbr': 'OH', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724774
Dylan Mingo,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 98.56397849462365, 'consensusStars': 5, 'consensusNationalRank': 6, 'consensusPositionRank': 1, 'consensusStateRank': 1, 'key': 112560, 'rating': 98.56397849462365, 'stars': 5, 'nationalRank': 6, 'positionRank': 1, 'stateRank': 1, 'positionAbbr': 'PG', 'stateAbbr': 'NY', 'fiveStarPlus': True}",,2026-02-02T20:58:04.724818
Keelon Russell,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 99.61959677419355, 'consensusStars': 5, 'consensusNationalRank': 2, 'consensusPositionRank': 2, 'consensusStateRank': 1, 'key': 109471, 'rating': 99.61959677419355, 'stars': 5, 'nationalRank': 2, 'positionRank': 2, 'stateRank': 1, 'positionAbbr': 'QB', 'stateAbbr': 'TX', 'fiveStarPlus': True}",,2026-02-02T20:58:04.724856
Damon Wilson II,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 97.58854312762975, 'consensusStars': 5, 'consensusNationalRank': 20, 'consensusPositionRank': 3, 'consensusStateRank': 5, 'key': 2547, 'rating': 97.58854312762975, 'stars': 5, 'nationalRank': 20, 'positionRank': 3, 'stateRank': 5, 'positionAbbr': 'EDGE', 'stateAbbr': 'FL', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724890
Mark Bowman,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': 96.86014492753623, 'consensusStars': 5, 'consensusNationalRank': 31, 'consensusPositionRank': 4, 'consensusStateRank': 4, 'key': 131051, 'rating': 96.86014492753623, 'stars': 5, 'nationalRank': 31, 'positionRank': 4, 'stateRank': 4, 'positionAbbr': 'TE', 'stateAbbr': 'CA', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724926
Howard Sampson,Unknown,Unknown,0,,,,,,,,,,,,"{'consensusRating': None, 'consensusStars': 0, 'consensusNationalRank': None, 'consensusPositionRank': None, 'consensusStateRank': None, 'key': 79794, 'rating': None, 'stars': 0, 'nationalRank': None, 'positionRank': None, 'stateRank': None, 'positionAbbr': 'OT', 'stateAbbr': 'TX', 'fiveStarPlus': False}",,2026-02-02T20:58:04.724969
