player_name,position,school,conference,custom_nil_value,nil_tier,valuation_confidence,performance_value,market_value,potential_value,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds,tackles,sacks,interceptions,recruiting_stars,national_rank
Jaxon Branch,WR,Eastern Washington,Big Sky,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,172.0,2.0,0.0,0.0,0.0,3,1699.0
Tomiwa Durojaiye,DL,Illinois,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,3,984.0
Samuel M'Pemba,DE,Texas A&M,SEC,70000,moderate,low,35000.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0,9999.0
Ja'Ryan Wallace,WR,Houston Christian,Southland,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,547.0,3.0,0.0,0.0,0.0,3,1232.0
Tanner Koziol,TE,Houston,Big 12,70000,moderate,low,50000.0,65000.0,5000.0,0.0,0.0,0.0,0.0,727.0,6.0,0.0,0.0,0.0,2,2603.0
Tanaka Scott,WR,North Alabama,UAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,528.0,4.0,0.0,0.0,0.0,3,1589.0
Peyton Nelson,WR,St. Francis (PA),NEC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,3,1427.0
Kyle Koch,WR,North Texas,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3,2499.0
Britain Simmons,WR,Lamar,Southland,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,3,1391.0
DaMontre Patterson,WR,New Hampshire,CAA,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,3,1725.0
Tyree Saunders,WR,Alabama State,SWAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,3,804.0
Ashton Murphy,DL,Nebraska,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3,959.0
Simeon Evans,WR,North Texas,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,3,2419.0
Phillippe Wesley,WR,Delaware State,MEAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,158.0,1.0,0.0,0.0,0.0,3,1317.0
Dequan Stanley,WR,Eastern Kentucky,UAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,221.0,1.0,1.0,0.0,0.0,3,1578.0
Lavon Brown,WR,Colorado State,Mountain West,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,3,1104.0
Jade Card,WR,Florida Atlantic,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,3,1008.0
Trayvon Rudolph,WR,Toledo,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,7.0,0.0,435.0,2.0,1.0,0.0,0.0,3,1735.0
Vilay Nakkoun Jr.,WR,Abilene Christian,UAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1496.0
Anthony Brown,WR,Tulane,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,25.0,0.0,523.0,2.0,0.0,0.0,0.0,3,545.0
David Amador,WR,UTSA,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,25.0,2.0,0.0,0.0,443.0,4.0,0.0,0.0,0.0,3,1958.0
Daveon Walker,WR,Alabama A&M,SWAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,526.0,6.0,0.0,0.0,0.0,3,789.0
Mekhi Miller,WR,Tulsa,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0,0.0,0.0,3,635.0
Mekhi Fox,WR,Eastern Michigan,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,3,448.0
Daunte Bacheyie,TE,Syracuse,ACC,70000,moderate,low,50000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,42.0,0.0,1.0,0.0,0.0,3,1187.0
Dashawn Martin,WR,Kent State,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,507.0,4.0,0.0,0.0,0.0,3,2069.0
Keenan Arcega-Whiteside,WR,Rice,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3,1501.0
Victor Jones Jr.,WR,Florida A&M,SWAC,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3,690.0
Bryce Bailey,WR,UT Martin,Big South-OVC,70000,moderate,low,75000.0,60000.0,10000.0,54.0,1.0,26.0,1.0,491.0,5.0,0.0,0.0,0.0,3,2258.0
Cameron Bonner,WR,Prairie View A&M,SWAC,70000,moderate,low,75000.0,60000.0,10000.0,24.0,0.0,45.0,1.0,325.0,3.0,0.0,0.0,0.0,3,559.0
Marcus Moore Jr.,DL,Purdue,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3,2103.0
Ty Olsen,WR,Utah State,Mountain West,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,3,1759.0
Jeremiah Warren,DL,Illinois,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3,1340.0
Antwon Thomas,WR,Miami (OH),Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1943.0
Maurice Stephens,WR,Kent State,Mid-American,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,31.0,1.0,0.0,0.0,1.0,0.0,0.0,3,1418.0
Daniel Owens,DL,Maryland,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3,782.0
Daniel Ndukwe,DL,Indiana,Big Ten,70000,moderate,low,35000.0,59500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,3,1725.0
Kelan Robinson,WR,East Carolina,American Athletic,70000,moderate,low,75000.0,60000.0,10000.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,3,1344.0
